Account ID,Instrument,Quantity,Date - Buy/Sell,Date - Placement,Order Status
ACCT_TECH1,AAPL,150,2024-09-12,2024-09-12,Filled
ACCT_TECH1,MSFT,100,2024-09-16,2024-09-15,Filled
ACCT_TECH1,GOOG,75,2024-09-20,2024-09-20,Filled
ACCT_TECH1,AMZN,50,2024-09-25,2024-09-24,Filled
ACCT_TECH1,NVDA,120,2024-09-28,2024-09-27,Filled
ACCT_TECH1,TSLA,80,2024-10-02,2024-10-01,Filled
ACCT_TECH1,META,200,2024-10-05,2024-10-05,Filled
ACCT_TECH1,AAPL,250,2024-10-09,2024-10-08,Filled
ACCT_TECH1,MSFT,180,2024-10-12,2024-10-11,Filled
ACCT_TECH1,GOOG,110,2024-10-16,2024-10-15,Filled
ACCT_TECH1,AMZN,90,2024-10-19,2024-10-19,Filled
ACCT_TECH1,NVDA,160,2024-10-23,2024-10-22,Filled
ACCT_TECH1,TSLA,60,2024-10-26,2024-10-25,Filled
ACCT_TECH1,META,140,2024-10-30,2024-10-29,Filled
ACCT_TECH1,AAPL,80,2024-11-02,2024-11-01,Working
ACCT_TECH1,MSFT,50,2024-11-06,2024-11-06,Filled
ACCT_TECH1,GOOG,100,2024-09-05,2024-09-05,Filled
ACCT_TECH1,AMZN,75,2024-09-09,2024-09-08,Filled
ACCT_TECH1,NVDA,150,2024-09-13,2024-09-12,Filled
ACCT_TECH1,TSLA,100,2024-09-17,2024-09-16,Cancelled
ACCT_TECH1,META,220,2024-09-21,2024-09-20,Filled
ACCT_TECH1,AAPL,280,2024-09-25,2024-09-24,Filled
ACCT_TECH1,MSFT,210,2024-09-29,2024-09-28,Filled
ACCT_TECH1,GOOG,130,2024-10-03,2024-10-02,Filled
ACCT_TECH1,AMZN,110,2024-10-07,2024-10-06,Filled
ACCT_TECH1,NVDA,190,2024-10-11,2024-10-10,Filled
ACCT_TECH1,TSLA,80,2024-10-15,2024-10-14,Filled
ACCT_TECH1,META,170,2024-10-19,2024-10-18,Filled
ACCT_TECH1,AAPL,110,2024-10-23,2024-10-22,Working
ACCT_TECH1,MSFT,70,2024-10-27,2024-10-27,Filled
ACCT_TECH1,GOOG,130,2024-10-31,2024-10-30,Filled
ACCT_TECH1,AMZN,100,2024-11-04,2024-11-03,Filled
ACCT_TECH1,NVDA,180,2024-09-02,2024-09-01,Filled
ACCT_TECH1,TSLA,120,2024-09-06,2024-09-05,Filled
ACCT_TECH1,META,250,2024-09-10,2024-09-09,Filled
ACCT_TECH1,AAPL,310,2024-09-14,2024-09-13,Filled
ACCT_TECH1,MSFT,240,2024-09-18,2024-09-17,Filled
ACCT_TECH1,GOOG,150,2024-09-22,2024-09-21,Filled
ACCT_TECH1,AMZN,130,2024-09-26,2024-09-25,Filled
ACCT_TECH1,NVDA,220,2024-09-30,2024-09-29,Filled
ACCT_TECH1,TSLA,100,2024-10-04,2024-10-03,Filled
ACCT_TECH1,META,200,2024-10-08,2024-10-07,Filled
ACCT_TECH1,AAPL,140,2024-10-12,2024-10-11,Filled
ACCT_TECH1,MSFT,90,2024-10-16,2024-10-15,Filled
ACCT_AAPL_ONLY,AAPL,100,2024-09-15,2024-09-14,Filled
ACCT_AAPL_ONLY,AAPL,50,2024-09-18,2024-09-18,Filled
ACCT_AAPL_ONLY,AAPL,200,2024-09-22,2024-09-21,Filled
ACCT_AAPL_ONLY,AAPL,150,2024-09-28,2024-09-27,Filled
ACCT_AAPL_ONLY,AAPL,75,2024-10-05,2024-10-05,Filled
ACCT_AAPL_ONLY,AAPL,120,2024-10-11,2024-10-10,Filled
ACCT_AAPL_ONLY,AAPL,80,2024-10-18,2024-10-17,Filled
ACCT_AAPL_ONLY,AAPL,250,2024-10-25,2024-10-24,Filled
ACCT_AAPL_ONLY,AAPL,60,2024-11-01,2024-11-01,Filled
ACCT_AAPL_ONLY,AAPL,100,2024-11-04,2024-11-03,Working
ACCT_AAPL_ONLY,AAPL,180,2024-09-02,2024-09-01,Filled
ACCT_AAPL_ONLY,AAPL,30,2024-09-05,2024-09-05,Filled
ACCT_AAPL_ONLY,AAPL,210,2024-09-08,2024-09-08,Filled
ACCT_AAPL_ONLY,AAPL,90,2024-09-11,2024-09-10,Filled
ACCT_AAPL_ONLY,AAPL,75,2024-09-14,2024-09-14,Cancelled
ACCT_AAPL_ONLY,AAPL,50,2024-09-17,2024-09-16,Filled
ACCT_AAPL_ONLY,AAPL,110,2024-09-20,2024-09-19,Filled
ACCT_AAPL_ONLY,AAPL,40,2024-09-23,2024-09-23,Filled
ACCT_AAPL_ONLY,AAPL,230,2024-09-26,2024-09-25,Filled
ACCT_AAPL_ONLY,AAPL,65,2024-09-29,2024-09-28,Filled
ACCT_AAPL_ONLY,AAPL,130,2024-10-02,2024-10-01,Filled
ACCT_AAPL_ONLY,AAPL,95,2024-10-05,2024-10-04,Filled
ACCT_AAPL_ONLY,AAPL,45,2024-10-08,2024-10-08,Filled
ACCT_AAPL_ONLY,AAPL,55,2024-10-11,2024-10-10,Cancelled
ACCT_AAPL_ONLY,AAPL,115,2024-10-14,2024-10-13,Filled
ACCT_AAPL_ONLY,AAPL,135,2024-10-17,2024-10-16,Filled
ACCT_AAPL_ONLY,AAPL,25,2024-10-20,2024-10-20,Filled
ACCT_AAPL_ONLY,AAPL,195,2024-10-23,2024-10-22,Filled
